round_epochs,val_loss,val_acc,loss,acc,lr,batch_size,epochs
15,0.5003502449913415,0.7888004551427211,0.3273213979878353,0.8610733803082172,0.001,128,15
15,0.7226121872578785,0.6415577033082486,0.7530216857149373,0.5957608111952317,0.01,16,15
50,0.536431333773376,0.7782831152709389,0.44607724873284643,0.8014972991849519,0.01,64,50
15,0.546957304221517,0.7723138144979971,0.5232673331525121,0.7740468143170378,0.01,64,15
50,0.5077172398330001,0.7927799885282467,0.24121918243906157,0.9007486495877689,0.0001,16,50
15,0.5228242756901579,0.7646389989909833,0.4917690412128409,0.7870297248822076,0.0001,64,15
15,0.50075007408366,0.7808413870501342,0.4253815359016135,0.8176390687683609,0.0001,16,15
15,0.4982370587659872,0.7959067653091608,0.31306132382284946,0.869381179497247,0.001,64,15
50,0.49334212805548466,0.783968163559964,0.144611325992245,0.941150456438183,0.001,64,50
15,0.5229278630055508,0.7754405915838809,0.4512861407567182,0.8048141011090093,0.01,128,15
50,0.5164182321499395,0.7873791925537105,0.31726296898827805,0.8678965157446099,0.0001,64,50
50,0.5019581429723856,0.7919272314492378,0.38061545010363457,0.8394036074094696,0.0001,128,50
50,0.5062999382081392,0.7805571348034163,0.34537854262648815,0.8495435448339358,0.01,128,50
50,0.4919141187221913,0.7902217168168225,0.15502775166848937,0.9367280538269577,0.001,16,50
50,0.6846161008626647,0.6139852188065894,0.7073947221815509,0.6049846795394009,0.01,16,50
50,0.4890606926204536,0.7956225126219311,0.148944534818654,0.9383390719573451,0.001,128,50
15,0.48905705944796457,0.7927799885282467,0.31792327536181586,0.8666013835821337,0.001,16,15
15,0.5344510006592855,0.7589539514474397,0.5352119581772877,0.7694664687340953,0.0001,128,15
